Time         Position     u_Position   density      velocity     Temperature  Pressure     species1     species2     species3     species4    
0.000000     0.485000     0.480000     1.000000     0.001500     200.000000   0.377658     0.363493     0.250236     0.159132     0.227140    
0.000000     0.495000     0.490000     1.000000     0.001500     200.000000   0.370253     0.363493     0.250236     0.159132     0.227140    
0.000000     0.505000     0.500000     1.000000     0.001500     200.000000   0.362848     0.363493     0.250236     0.159132     0.227140    
0.000000     0.515000     0.510000     1.000000     0.001500     200.000000   0.355443     0.363493     0.250236     0.159132     0.227140    
0.000000     0.525000     0.520000     1.000000     0.001500     200.000000   0.348038     0.363493     0.250236     0.159132     0.227140    
0.000000     0.535000     0.530000     1.000000     0.001500     200.000000   0.340633     0.363493     0.250236     0.159132     0.227140    
0.000000     0.545000     0.540000     1.000000     0.001500     200.000000   0.333228     0.363493     0.250236     0.159132     0.227140    
0.000000     0.555000     0.550000     1.000000     0.001500     200.000000   0.325823     0.363493     0.250236     0.159132     0.227140    
0.000000     0.565000     0.560000     1.000000     0.001500     200.000000   0.318418     0.363493     0.250236     0.159132     0.227140    
0.000000     0.575000     0.570000     1.000000     0.001500     200.000000   0.311013     0.363493     0.250236     0.159132     0.227140    
0.000000     0.585000     0.580000     1.000000     0.001500     200.000000   0.303608     0.363493     0.250236     0.159132     0.227140    
0.000000     0.595000     0.590000     1.000000     0.001500     200.000000   0.296203     0.363493     0.250236     0.159132     0.227140    
0.000000     0.605000     0.600000     1.000000     0.001500     200.000000   0.288798     0.363493     0.250236     0.159132     0.227140    
0.000000     0.615000     0.610000     1.000000     0.001500     200.000000   0.281393     0.363493     0.250236     0.159132     0.227140    
0.000000     0.625000     0.620000     1.000000     0.001500     200.000000   0.273988     0.363493     0.250236     0.159132     0.227140    
0.000000     0.635000     0.630000     1.000000     0.001500     200.000000   0.266583     0.363493     0.250236     0.159132     0.227140    
0.000000     0.645000     0.640000     1.000000     0.001500     200.000000   0.259178     0.363493     0.250236     0.159132     0.227140    
0.000000     0.655000     0.650000     1.000000     0.001500     200.000000   0.251773     0.363493     0.250236     0.159132     0.227140    
0.000000     0.665000     0.660000     1.000000     0.001500     200.000000   0.244368     0.363493     0.250236     0.159132     0.227140    
0.000000     0.675000     0.670000     1.000000     0.001500     200.000000   0.236963     0.363493     0.250236     0.159132     0.227140    
0.000000     0.685000     0.680000     1.000000     0.001500     200.000000   0.229558     0.363493     0.250236     0.159132     0.227140    
