Position2    u_Position2  X3_k1        X3_k2        X4_k1        X4_k2        stagecut2   
0.000000000000 0.000000000000 0.024288336440 0.975711663560 NaN          NaN          0.000000000000 
0.002500000000 0.000000000000 0.034840501882 0.965159498118 0.025242251306 0.974757748694 -0.000000000000 
0.007500000000 0.005000000000 0.044517497132 0.955482502868 0.025242251306 0.974757748694 0.003901223125 
0.012500000000 0.010000000000 0.053385161012 0.946614838988 0.025208616278 0.974791383722 0.007802446251 
0.017500000000 0.015000000000 0.061505521095 0.938494478905 0.025205915524 0.974794084476 0.011703669376 
0.022500000000 0.020000000000 0.068936811215 0.931063188785 0.025205719353 0.974794280647 0.015604892502 
0.027500000000 0.025000000000 0.075733533425 0.924266466575 0.025205705917 0.974794294083 0.019506115627 
0.032500000000 0.030000000000 0.081946554831 0.918053445169 0.025205705034 0.974794294966 0.023407338753 
0.037500000000 0.035000000000 0.087623231034 0.912376768966 0.025205704981 0.974794295019 0.027308561878 
0.042500000000 0.040000000000 0.092807549131 0.907192450869 0.025205704982 0.974794295018 0.031209785004 
0.047500000000 0.045000000000 0.097540284327 0.902459715673 0.025205704985 0.974794295015 0.035111008129 
0.052500000000 0.050000000000 0.101859165228 0.898140834772 0.025205704988 0.974794295012 0.039012231255 
0.057500000000 0.055000000000 0.105799043750 0.894200956250 0.025205704991 0.974794295009 0.042913454380 
0.062500000000 0.060000000000 0.109392066366 0.890607933634 0.025205704994 0.974794295006 0.046814677506 
0.067500000000 0.065000000000 0.112667844080 0.887332155920 0.025205704997 0.974794295003 0.050715900631 
0.072500000000 0.070000000000 0.115653619089 0.884346380911 0.025205704999 0.974794295001 0.054617123757 
0.077500000000 0.075000000000 0.118374426568 0.881625573432 0.025205705002 0.974794294998 0.058518346882 
0.082500000000 0.080000000000 0.120853250441 0.879146749559 0.025205705004 0.974794294996 0.062419570008 
0.087500000000 0.085000000000 0.123111172313 0.876888827687 0.025205705006 0.974794294994 0.066320793133 
0.092500000000 0.090000000000 0.125167513022 0.874832486978 0.025205705007 0.974794294993 0.070222016259 
0.097500000000 0.095000000000 0.127039966516 0.872960033484 0.025205705009 0.974794294991 0.074123239384 
0.102500000000 0.100000000000 0.128744725889 0.871255274111 0.025205705010 0.974794294990 0.078024462510 
0.107500000000 0.105000000000 0.130296601608 0.869703398392 0.025205705012 0.974794294988 0.081925685635 
0.112500000000 0.110000000000 0.131709132039 0.868290867961 0.025205705013 0.974794294987 0.085826908761 
0.117500000000 0.115000000000 0.132994686462 0.867005313538 0.025205705014 0.974794294986 0.089728131886 
0.122500000000 0.120000000000 0.134164560857 0.865835439143 0.025205705015 0.974794294985 0.093629355012 
0.127500000000 0.125000000000 0.135229066744 0.864770933256 0.025205705016 0.974794294984 0.097530578137 
0.132500000000 0.130000000000 0.136197613429 0.863802386571 0.025205705017 0.974794294983 0.101431801263 
0.137500000000 0.135000000000 0.137078784003 0.862921215997 0.025205705017 0.974794294983 0.105333024388 
0.142500000000 0.140000000000 0.137880405458 0.862119594542 0.025205705018 0.974794294982 0.109234247514 
0.147500000000 0.145000000000 0.138609613268 0.861390386732 0.025205705019 0.974794294981 0.113135470639 
0.152500000000 0.150000000000 0.139272910825 0.860727089175 0.025205705019 0.974794294981 0.117036693764 
0.157500000000 0.155000000000 0.139876224041 0.860123775959 0.025205705020 0.974794294980 0.120937916890 
0.162500000000 0.160000000000 0.140424951490 0.859575048510 0.025205705020 0.974794294980 0.124839140015 
0.167500000000 0.165000000000 0.140924010381 0.859075989619 0.025205705021 0.974794294979 0.128740363141 
0.172500000000 0.170000000000 0.141377878705 0.858622121295 0.025205705021 0.974794294979 0.132641586266 
0.177500000000 0.175000000000 0.141790633810 0.858209366190 0.025205705021 0.974794294979 0.136542809392 
0.182500000000 0.180000000000 0.142165987721 0.857834012279 0.025205705022 0.974794294978 0.140444032517 
0.187500000000 0.185000000000 0.142507319418 0.857492680582 0.025205705022 0.974794294978 0.144345255643 
0.192500000000 0.190000000000 0.142817704360 0.857182295640 0.025205705022 0.974794294978 0.148246478768 
0.197500000000 0.195000000000 0.143099941440 0.856900058560 0.025205705022 0.974794294978 0.152147701894 
0.202500000000 0.200000000000 0.143356577608 0.856643422392 0.025205705023 0.974794294977 0.156048925019 
0.207500000000 0.205000000000 0.143589930342 0.856410069658 0.025205705023 0.974794294977 0.159950148145 
0.212500000000 0.210000000000 0.143802108149 0.856197891851 0.025205705023 0.974794294977 0.163851371270 
0.217500000000 0.215000000000 0.143995029270 0.856004970730 0.025205705023 0.974794294977 0.167752594396 
0.222500000000 0.220000000000 0.144170438730 0.855829561270 0.025205705023 0.974794294977 0.171653817521 
0.227500000000 0.225000000000 0.144329923882 0.855670076118 0.025205705024 0.974794294976 0.175555040647 
0.232500000000 0.230000000000 0.144474928576 0.855525071424 0.025205705024 0.974794294976 0.179456263772 
0.237500000000 0.235000000000 0.144606766061 0.855393233939 0.025205705024 0.974794294976 0.183357486898 
0.242500000000 0.240000000000 0.144726630749 0.855273369251 0.025205705014 0.974794294986 0.187258710023 
0.247500000000 0.245000000000 0.144835608921 0.855164391079 0.025205704040 0.974794295960 0.191159933149 
0.252500000000 0.250000000000 0.144934688477 0.855065311523 0.025205605714 0.974794394286 0.195061156274 
0.257500000000 0.255000000000 0.145024767821 0.854975232179 0.025195878197 0.974804121803 0.198962379400 
0.262500000000 0.260000000000 0.145106663934 0.854893336066 0.024242355529 0.975757644471 0.202863602525 
0.265000000000 0.265000000000 0.145106663934 0.854893336066 0.024242355529 0.975757644471 0.206764825651 

